id;host_id;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
17878;68997;Copacabana;-22.96592;-43.17896;Entire home/apt;200;5;260;08/02/2021;2;1;334
24480;99249;Ipanema;-22.9857;-43.20193;Entire home/apt;307;3;85;14/02/2018;0.67;1;37
35636;153232;Ipanema;-22.98816;-43.19359;Entire home/apt;275;2;181;15/03/2020;2;1;236
35764;153691;Copacabana;-22.98127;-43.19046;Entire home/apt;120;3;356;06/03/2021;2.79;1;120
41198;178975;Copacabana;-22.97962;-43.1923;Entire home/apt;494;3;18;09/02/2016;0.18;2;365
48305;70933;Ipanema;-22.98591;-43.20302;Entire home/apt;1967;2;78;05/03/2021;0.64;8;349
48726;221941;Ipanema;-22.98414;-43.1945;Private room;110;3;42;08/08/2019;1.02;1;43
48901;222884;Copacabana;-22.96574;-43.17514;Entire home/apt;540;4;4;08/03/2020;0.06;2;214
49179;224192;Copacabana;-22.9791;-43.19008;Entire home/apt;150;3;96;17/02/2021;0.95;38;106
50294;70933;Ipanema;-22.98584;-43.20305;Entire home/apt;1312;2;73;20/09/2020;0.62;8;348
50759;233554;Barra da Tijuca;-23.00307;-43.30911;Entire home/apt;3404;1;7;08/01/2017;0.11;4;365
51703;238091;Copacabana;-22.98128;-43.19091;Entire home/apt;140;3;166;14/03/2021;1.58;2;297
64795;93005;Ipanema;-22.98178;-43.20076;Entire home/apt;333;1;17;01/03/2021;0.14;1;355
65546;70933;Ipanema;-22.98599;-43.20299;Entire home/apt;1474;2;64;02/02/2021;0.52;8;348
66574;326301;Flamengo;-22.92873;-43.17473;Entire home/apt;180;4;1;24/08/2016;0.02;1;327
66797;328096;Ipanema;-22.98463;-43.19563;Entire home/apt;145;3;211;19/03/2021;1.73;3;245
68422;339264;Copacabana;-22.98498;-43.19135;Private room;215;4;79;22/11/2017;0.64;1;90
70080;319672;Ipanema;-22.9854;-43.19602;Entire home/apt;230;2;383;16/03/2021;3.41;5;267
73581;384673;Copacabana;-22.98027;-43.19255;Entire home/apt;183;3;143;26/02/2020;1.17;1;179
75585;401375;Copacabana;-22.98238;-43.19366;Entire home/apt;401;10;101;24/02/2020;0.83;1;270
76245;406651;Copacabana;-22.98192;-43.19397;Entire home/apt;784;2;125;23/02/2020;1.06;1;121
76300;406989;Santa Teresa;-22.92875;-43.19341;Private room;65;7;214;17/02/2021;1.93;6;206
76961;411441;Santa Teresa;-22.91431;-43.19081;Entire home/apt;100;4;96;03/02/2021;0.79;1;191
77318;110002;Gávea;-22.97629;-43.23145;Entire home/apt;194;5;36;08/03/2021;0.37;1;145
80145;432777;Santa Teresa;-22.92519;-43.19118;Private room;110;2;14;06/10/2019;0.14;2;365
85807;470565;Copacabana;-22.98525;-43.19247;Entire home/apt;163;2;4;12/10/2020;0.27;6;83
86670;474221;Leblon;-22.98361;-43.21827;Entire home/apt;264;2;83;05/02/2021;0.71;7;255
86978;476838;Jacarepaguá;-22.97237;-43.38141;Private room;826;1;0;;;1;365
87202;477755;Campo Grande;-22.88756;-43.59413;Entire home/apt;146;2;22;11/03/2021;0.4;1;364
87762;204850012;Ipanema;-22.98386;-43.21383;Entire home/apt;100;2;15;14/02/2020;0.35;1;265
88528;474221;Copacabana;-22.97794;-43.18969;Entire home/apt;179;2;65;22/11/2020;0.57;7;298
88781;474221;Copacabana;-22.97456;-43.18807;Entire home/apt;157;2;48;02/02/2021;0.48;7;124
89454;487000;Leblon;-22.98668;-43.22171;Entire home/apt;390;2;33;16/02/2020;0.32;3;363
89862;474221;Copacabana;-22.97607;-43.18926;Entire home/apt;224;2;45;02/11/2020;0.45;7;255
89893;483023;Laranjeiras;-22.94286;-43.19356;Private room;496;1;0;;;1;365
89981;488707;Ipanema;-22.9827;-43.2004;Private room;329;3;167;27/02/2020;1.49;1;265
90907;484054;Copacabana;-22.97839;-43.19108;Entire home/apt;197;2;2;29/12/2019;0.12;1;294
92107;496230;Humaitá;-22.95701;-43.20293;Private room;190;2;6;26/02/2020;0.06;1;0
92531;497786;São Conrado;-22.99856;-43.27042;Private room;150;1;0;;;5;0
92549;497786;São Conrado;-22.99893;-43.27047;Shared room;110;1;1;22/04/2014;0.01;5;0
94895;506187;Copacabana;-22.97049;-43.18923;Private room;180;1;7;25/02/2020;0.11;3;365
96431;511850;Barra da Tijuca;-23.01159;-43.36925;Entire home/apt;257;4;50;03/01/2021;0.51;2;304
96478;530471;Botafogo;-22.94505;-43.18137;Private room;170;4;0;;;3;365
97636;496656;Botafogo;-22.94169;-43.18703;Private room;128;8;17;07/10/2019;0.15;11;365
99547;524101;Centro;-22.91408;-43.18233;Entire home/apt;144;4;61;11/03/2021;0.62;2;177
99971;525976;Vidigal;-22.99;-43.22697;Entire home/apt;393;3;107;20/02/2020;0.91;1;0
101182;530471;Botafogo;-22.95012;-43.18282;Entire home/apt;200;4;0;;;3;365
103053;533278;Santo Cristo;-22.90487;-43.20924;Private room;386;1;0;;;1;365
106372;551316;Barra da Tijuca;-23.0089;-43.43049;Entire home/apt;650;4;7;26/02/2020;0.12;1;362
107469;556738;Santa Teresa;-22.91831;-43.1785;Private room;54;60;2;21/12/2018;0.02;4;117
108072;521514;Copacabana;-22.98322;-43.19087;Entire home/apt;165;3;146;10/02/2021;1.22;1;352
108882;475926;Santa Teresa;-22.92135;-43.18088;Entire home/apt;261;3;57;08/03/2020;0.48;1;68
109747;554897;Ipanema;-22.98697;-43.19751;Entire home/apt;682;2;154;18/02/2021;1.37;1;345
118355;523251;Itanhangá;-22.98789;-43.31698;Private room;2143;2;2;06/03/2019;0.07;5;129
125115;622730;São Cristóvão;-22.90284;-43.22247;Private room;826;1;2;12/02/2013;0.02;1;365
125656;624433;Copacabana;-22.97;-43.18823;Entire home/apt;321;2;85;27/02/2020;0.71;1;364
127018;629505;Gávea;-22.98096;-43.23718;Private room;140;3;5;09/08/2018;0.04;2;266
130234;641519;Copacabana;-22.97541;-43.18877;Entire home/apt;180;3;4;16/02/2019;0.11;1;0
132114;649320;Laranjeiras;-22.93693;-43.19098;Private room;105;1;5;05/06/2018;0.05;1;364
132832;652627;Copacabana;-22.98468;-43.18926;Private room;160;2;4;04/01/2019;0.06;4;31
132909;652889;Maracanã;-22.91549;-43.22626;Private room;300;1;1;02/02/2016;0.02;1;364
133221;6416134;Glória;-22.91986;-43.17859;Private room;120;3;30;29/02/2020;0.32;1;365
137002;635510;Leblon;-22.98251;-43.22108;Entire home/apt;792;2;19;25/01/2021;0.16;5;305
137048;670198;Leblon;-22.98002;-43.22371;Entire home/apt;180;3;33;10/11/2020;0.29;1;350
137150;670788;Lagoa;-22.97193;-43.20359;Entire home/apt;2754;21;0;;;1;365
137343;671579;Ipanema;-22.98606;-43.19513;Entire home/apt;384;6;39;15/05/2020;0.33;1;365
141434;687759;Botafogo;-22.95454;-43.17442;Entire home/apt;881;3;28;26/02/2021;0.24;2;304
145966;706303;São Francisco Xavier;-22.90345;-43.24253;Private room;200;1;0;;;1;0
146028;706545;Catete;-22.92591;-43.18033;Shared room;1101;2;0;;;1;0
146402;713797;Humaitá;-22.96148;-43.20038;Private room;275;2;81;13/09/2020;0.74;4;365
154127;757937;Jacarepaguá;-22.97304;-43.4149;Entire home/apt;250;1;0;;;1;365
166177;792218;Copacabana;-22.97854;-43.1904;Entire home/apt;130;2;88;10/01/2021;0.75;10;350
166861;454863;Copacabana;-22.98249;-43.19222;Private room;249;3;12;27/02/2020;0.15;2;204
166972;795470;Copacabana;-22.96656;-43.18575;Entire home/apt;170;3;1;06/11/2019;0.06;1;341
167031;792218;Ipanema;-22.9869;-43.19286;Entire home/apt;161;2;59;15/03/2021;0.57;10;350
167932;792218;Copacabana;-22.97064;-43.18496;Entire home/apt;141;2;74;11/01/2021;0.64;10;349
170397;792218;Copacabana;-22.97135;-43.18779;Entire home/apt;136;1;100;07/01/2021;0.87;10;356
171505;820276;Vidigal;-22.99442;-43.23544;Entire home/apt;439;3;1;21/08/2016;0.02;1;363
172902;792218;Copacabana;-22.98114;-43.19429;Entire home/apt;109;2;91;21/02/2021;0.78;10;348
174101;259815;Copacabana;-22.98015;-43.19098;Entire home/apt;600;3;191;15/03/2021;1.63;2;68
176185;842466;Copacabana;-22.98499;-43.19098;Entire home/apt;1543;3;140;12/03/2020;1.22;1;365
178833;856145;Copacabana;-22.98026;-43.19109;Private room;125;10;108;09/03/2021;0.92;3;217
178951;856145;Copacabana;-22.97858;-43.19075;Entire home/apt;111;10;84;27/02/2021;0.72;3;257
181138;868175;Copacabana;-22.98474;-43.19081;Entire home/apt;1176;4;63;01/08/2019;0.55;1;178
186604;896919;Centro;-22.90739;-43.19554;Private room;661;3;0;;;1;365
186989;211028;Santa Teresa;-22.92062;-43.18156;Entire home/apt;150;2;2;11/02/2016;0.02;2;364
187092;211028;Santa Teresa;-22.92288;-43.18285;Entire home/apt;214;3;0;;;2;365
188155;617333;Copacabana;-22.96799;-43.18494;Entire home/apt;279;2;32;09/09/2019;0.28;4;179
190204;918340;Botafogo;-22.94879;-43.18147;Private room;250;3;46;24/03/2020;0.43;2;365
190906;823800;Ipanema;-22.98236;-43.19864;Entire home/apt;200;3;163;15/03/2021;1.4;18;335
191955;929229;Humaitá;-22.95783;-43.19984;Private room;100;5;1;18/01/2016;0.02;2;358
193317;937397;Ipanema;-22.98597;-43.19591;Private room;121;2;181;01/08/2020;1.81;3;180
194319;940895;Ipanema;-22.98427;-43.19689;Entire home/apt;1027;4;13;27/11/2013;0.11;1;365
196312;955720;Copacabana;-22.98297;-43.19388;Entire home/apt;180;2;76;05/01/2020;0.65;1;110
198646;969822;Marechal Hermes;-22.85898;-43.36762;Private room;69;1;6;26/11/2017;0.05;3;363
198665;969899;Jardim Botânico;-22.96225;-43.22077;Private room;494;3;6;16/08/2016;0.05;1;365
201308;984392;Laranjeiras;-22.93431;-43.18877;Private room;826;3;2;12/02/2016;0.02;1;365
202400;961863;Copacabana;-22.97467;-43.18733;Entire home/apt;358;3;0;;;1;365
202778;529105;Copacabana;-22.96536;-43.17979;Entire home/apt;192;3;200;12/12/2020;1.72;3;321
203674;999125;Ipanema;-22.9825;-43.20504;Entire home/apt;2252;5;48;07/05/2019;0.44;1;37
209671;1005728;Glória;-22.92337;-43.17561;Entire home/apt;153;7;0;;;2;177
210173;1030316;Copacabana;-22.98596;-43.19001;Private room;1625;2;3;03/10/2019;0.03;4;365
215793;1030316;Copacabana;-22.98596;-43.19001;Private room;275;2;30;13/03/2021;0.26;4;365
215878;1030316;Copacabana;-22.98596;-43.19001;Private room;242;2;31;25/02/2020;0.28;4;0
215887;1030316;Copacabana;-22.98596;-43.19001;Private room;220;2;32;26/02/2020;0.28;4;202
216461;1154263;Flamengo;-22.94122;-43.17633;Private room;824;1;0;;;1;365
216700;1118486;Laranjeiras;-22.94344;-43.19245;Private room;180;4;20;02/01/2020;0.19;3;364
219250;1134264;Santa Teresa;-22.91666;-43.17947;Entire home/apt;170;2;345;13/03/2021;3.22;2;358
220377;1142424;Tijuca;-22.92807;-43.24069;Private room;198;3;4;06/04/2017;0.04;2;364
220705;1144461;Copacabana;-22.98246;-43.19376;Private room;300;3;0;;;2;365
221379;132230;Copacabana;-22.98077;-43.19119;Entire home/apt;549;4;25;29/11/2019;0.22;5;268
223073;503995;Ipanema;-22.9828;-43.20467;Entire home/apt;143;1;394;14/03/2021;3.42;7;344
223200;1159474;Flamengo;-22.93729;-43.17459;Entire home/apt;302;2;128;02/03/2020;1.11;1;84
230989;1207700;Copacabana;-22.97822;-43.19034;Entire home/apt;150;2;103;17/01/2021;0.9;4;356
231105;1208327;Jacarepaguá;-22.96982;-43.38807;Entire home/apt;126;2;64;21/03/2021;0.7;2;96
231497;1207700;Copacabana;-22.98102;-43.19212;Entire home/apt;160;2;53;30/01/2021;0.47;4;365
231516;1207700;Copacabana;-22.97733;-43.18987;Entire home/apt;350;2;30;21/08/2016;0.26;4;175
236991;1241662;Copacabana;-22.96321;-43.17544;Entire home/apt;84;5;21;17/02/2021;0.24;1;91
238802;235496;Copacabana;-22.96386;-43.17757;Entire home/apt;270;2;43;25/02/2021;0.38;5;319
239531;792218;Copacabana;-22.96434;-43.17563;Entire home/apt;162;2;87;30/01/2021;0.77;10;332
242214;530471;Botafogo;-22.94984;-43.18125;Entire home/apt;200;1;0;;;3;365
245951;1289982;Copacabana;-22.96817;-43.17987;Entire home/apt;230;3;13;08/03/2019;0.12;1;365
247052;1295841;Botafogo;-22.95849;-43.18518;Entire home/apt;357;5;0;;;1;234
247779;1298591;Ipanema;-22.98666;-43.19321;Entire home/apt;170;2;128;03/01/2021;1.14;1;363
248756;804664;Copacabana;-22.98091;-43.19152;Entire home/apt;280;3;124;10/01/2021;1.08;1;355
249323;1306210;Copacabana;-22.97561;-43.18791;Entire home/apt;688;1;81;30/12/2020;0.71;1;356
249616;1307761;Barra da Tijuca;-23.01129;-43.32305;Entire home/apt;195;3;220;20/04/2020;1.96;2;0
249842;1309444;Copacabana;-22.96911;-43.18836;Private room;300;2;126;19/01/2020;1.14;3;0
251701;1319991;Vidigal;-22.99176;-43.23313;Entire home/apt;549;7;27;13/11/2019;0.24;8;365
251868;1321287;Copacabana;-22.97725;-43.19039;Entire home/apt;120;4;83;03/01/2021;0.73;2;68
256323;1348172;Santa Teresa;-22.91742;-43.1833;Entire home/apt;127;3;184;08/03/2021;1.68;1;144
260323;1365868;Barra da Tijuca;-22.98831;-43.35749;Entire home/apt;1922;2;1;23/02/2012;0.01;1;0
262466;1377161;Botafogo;-22.95349;-43.18113;Entire home/apt;250;1;3;05/01/2016;0.03;1;364
264816;259815;Barra da Tijuca;-23.00291;-43.39086;Entire home/apt;269;7;33;01/01/2021;0.31;2;2
